State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Louisiana,7.93,7.028333333333333,7.770833333333335,7.981666666666666,8.809166666666666,9.100833333333334,9.361666666666665,10.174166666666666,8.133333333333333,8.971666666666666,8.915833333333333,8.382500000000002,9.391666666666667,9.586666666666668,9.309166666666668,9.326666666666666,9.700000000000001,9.6025,9.780833333333334,9.6675,11.050833333333332,12.840833333333334,11.604166666666666,11.686666666666666,12.562857142857142
Oklahoma,7.1674999999999995,6.640000000000001,7.396666666666666,7.645833333333333,7.8725,8.509166666666665,8.59,9.031666666666666,8.578333333333335,9.175833333333332,9.508333333333333,9.559166666666668,9.723333333333334,10.0925,10.225833333333332,10.229999999999999,10.693333333333335,10.345833333333331,10.215833333333334,10.120833333333334,11.006666666666668,12.365833333333333,12.011666666666665,12.237499999999999,12.622857142857143
Texas,8.77,8.010833333333332,9.0475,9.614166666666666,10.809999999999997,12.756666666666668,12.330833333333333,12.930833333333334,12.408333333333333,11.595833333333333,11.078333333333333,10.988333333333335,11.35,11.864166666666668,11.579166666666666,11.015833333333333,11.028333333333334,11.220833333333331,11.770000000000001,11.734166666666667,12.146666666666668,13.756666666666666,14.514166666666668,14.980833333333331,15.214285714285714
Mountain,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,8.160833333333334,8.142499999999998,8.204999999999998,8.349166666666667,8.726666666666667,9.220833333333333,9.495,10.118333333333332,10.566666666666666,10.759166666666667,10.9125,11.125833333333333,11.564166666666667,11.740833333333335,11.974166666666667,12.026666666666666,12.331666666666669,12.705,12.405833333333334,12.190833333333332,12.487499999999999,12.966666666666663,13.9925,14.951666666666666,15.337142857142856
Colorado,7.478333333333333,7.3808333333333325,8.148333333333332,8.424999999999999,9.065000000000001,9.020833333333334,9.280000000000001,10.125,9.976666666666667,11.018333333333333,11.229166666666666,11.407499999999999,11.895000000000001,12.158333333333333,12.100833333333332,12.039166666666667,12.145000000000001,12.122499999999997,12.146666666666668,12.319166666666666,13.054166666666665,14.160000000000002,14.293333333333335,15.0175,15.555714285714286
Idaho,6.078333333333334,6.620833333333333,6.2525,6.1525,6.331666666666667,6.239166666666667,6.399166666666667,7.047499999999999,7.821666666666668,8.011666666666668,7.894166666666668,8.68,9.365,9.776666666666666,9.985,10.001666666666663,10.095,10.1725,9.915,9.960833333333332,10.168333333333333,10.415833333333333,11.105833333333331,11.599166666666667,11.635714285714286
Montana,6.914166666666667,7.266666666666667,7.595,7.919999999999999,8.155833333333334,8.3225,8.830833333333333,9.207500000000001,9.000833333333334,9.235,9.832500000000001,10.134166666666667,10.4,10.263333333333334,10.939166666666665,11.01,11.018333333333333,11.033333333333331,11.225000000000001,11.290833333333333,11.274166666666666,11.393333333333336,12.61916666666667,12.776666666666669,12.767142857142856
Nevada,9.021666666666667,9.481666666666667,9.150833333333333,9.703333333333333,10.306666666666667,11.130833333333333,11.819999999999999,12.069999999999999,12.876666666666665,12.440000000000003,11.654166666666663,11.938333333333333,12.015833333333333,13.032499999999999,12.889999999999999,11.579166666666666,12.088333333333333,11.987499999999999,12.065833333333336,11.474166666666664,11.6875,13.854999999999999,16.69666666666667,15.348333333333331,13.312857142857142
New Mexico,8.7425,8.496666666666668,8.674166666666666,8.661666666666667,9.1175,9.0475,9.121666666666664,9.983333333333333,9.9975,10.475833333333332,10.952500000000002,11.298333333333334,11.628333333333336,12.21,12.4275,11.971666666666666,12.833333333333334,12.626666666666667,12.484166666666667,12.863333333333332,13.450000000000001,13.771666666666667,13.784166666666666,14.295000000000002,14.697142857142856
